         910295 function calls (908100 primitive calls) in 3.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:158(blknos)
       10    0.000    0.000    0.007    0.001 /usr/lib/python3.8/sre_compile.py:759(compile)
      455    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:353(__init__)
       55    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:190(is_sparse)
    83/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       55    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1885(get_block_type)
  514/354    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/encoder.py:333(_iterencode_dict)
      230    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1663(dtype)
      526    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
       32    0.000    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3483(_getitem_bool_array)
